Fecha,Presi¢n,Altitud,Humedad (%),Temperatura (Celsius),
18/09/2019 19:04,95006.28,539.88,58.69,27.17,
18/09/2019 19:04,95004.94,540,58.67,27.17,
18/09/2019 19:04,95002.38,540.22,58.66,27.17,
18/09/2019 19:04,95003.33,540.14,58.59,27.18,
18/09/2019 19:04,95003.33,540.14,58.55,27.18,
18/09/2019 19:04,95007.07,539.81,58.52,27.18,
18/09/2019 19:04,95003.33,540.14,58.47,27.18,
18/09/2019 19:04,95003.61,540.12,58.41,27.17,
18/09/2019 19:04,95004.78,540.01,58.38,27.18,
18/09/2019 19:04,95004.89,540,58.42,27.18,
18/09/2019 19:04,95006.4,539.87,58.43,27.18,
18/09/2019 19:04,95004.39,540.24,58.45,27.18,
18/09/2019 19:04,95003.66,540.11,58.46,27.18,
18/09/2019 19:04,95006.56,539.86,58.47,27.18,
18/09/2019 19:04,95006.12,539.9,58.51,27.17,
18/09/2019 19:04,94998.97,540.52,58.73,27.18,
18/09/2019 19:04,95008.3,539.7,59.21,27.13,
18/09/2019 19:04,95006.78,539.84,59.86,27.1,
18/09/2019 19:04,95007.13,539.81,60.02,27.08,
18/09/2019 19:04,95004.5,540.04,59.94,27.06,
18/09/2019 19:04,95005.84,539.92,59.82,27.06,
18/09/2019 19:04,95006.62,539.85,59.74,27.06,
18/09/2019 19:04,95007.13,539.81,59.67,27.06,
18/09/2019 19:04,95004.33,540.05,59.58,27.06,
18/09/2019 19:04,95003.27,540.15,59.74,27.07,
18/09/2019 19:04,95005.45,539.95,60.29,27.07,
18/09/2019 19:04,95006.83,539.83,60.7,27.09,
18/09/2019 19:04,95005.1,539.98,61.07,27.1,
18/09/2019 19:04,95004.72,539.96,60.89,27.1,
18/09/2019 19:04,95006.61,539.85,60.76,27.1,
18/09/2019 19:04,95009.35,539.61,60.66,27.11,
18/09/2019 19:04,95007.51,539.77,60.58,27.11,
18/09/2019 19:04,95006.05,539.9,60.6,27.11,
18/09/2019 19:04,95007.23,539.8,60.55,27.12,
18/09/2019 19:04,95005.5,539.95,60.48,27.12,
18/09/2019 19:04,95008.07,539.72,60.39,27.12,
18/09/2019 19:04,95009.36,539.61,60.26,27.12,
18/09/2019 19:04,95007.67,539.76,59.99,27.11,
18/09/2019 19:04,95008.73,539.67,59.84,27.11,
18/09/2019 19:04,95007.95,539.73,59.66,27.1,
18/09/2019 19:04,95007.39,539.78,59.45,27.09,
18/09/2019 19:04,95006.27,539.88,59.25,27.09,
18/09/2019 19:04,95006.13,539.89,59,27.07,
18/09/2019 19:04,95007.57,539.77,58.84,27.06,
18/09/2019 19:04,95008.8,539.66,58.77,27.06,
18/09/2019 19:04,95003.76,540.1,59,27.04,
18/09/2019 19:04,95005.11,539.98,59.54,27.05,
18/09/2019 19:04,95005.61,539.94,59.67,27.05,
18/09/2019 19:04,95003.09,540.16,59.48,27.05,
18/09/2019 19:04,95004.1,540.07,59.5,27.05,
18/09/2019 19:04,95004.27,540.06,59.48,27.05,
18/09/2019 19:04,95006.45,539.87,59.37,27.05,
18/09/2019 19:04,95005.27,539.97,59.26,27.05,
18/09/2019 19:04,95005.77,539.93,59.16,27.04,
18/09/2019 19:04,95007,539.82,59.26,27.05,
18/09/2019 19:04,95003.48,540.13,59.31,27.05,
18/09/2019 19:04,95004.59,540.03,59.16,27.04,
18/09/2019 19:05,95007,539.82,59.27,27.05,
18/09/2019 19:05,95006.11,539.9,59.13,27.04,
18/09/2019 19:05,95002.94,540.17,59.02,27.02,
18/09/2019 19:05,95005.22,539.97,58.99,27,
18/09/2019 19:05,95003.98,540.08,59.07,26.99,
18/09/2019 19:05,95005.21,539.97,59.07,26.99,
18/09/2019 19:05,95003.53,540.12,59.05,26.98,
18/09/2019 19:05,95006.66,539.85,59.07,26.98,
18/09/2019 19:05,95004.92,540,59.31,26.98,
18/09/2019 19:05,95003.14,540.16,59.48,26.99,
18/09/2019 19:05,95003.25,540.15,59.69,26.99,
18/09/2019 19:05,95003.92,540.09,59.68,26.99,
18/09/2019 19:05,95006,539.91,59.9,27,
18/09/2019 19:05,95000.41,540.4,60.29,27.01,
18/09/2019 19:05,95003.21,540.15,60.52,27.01,
18/09/2019 19:05,95003.44,540.13,60.25,27.02,
18/09/2019 19:05,95003.66,540.11,60.12,27.02,
18/09/2019 19:05,95004.78,540.01,60.19,27.02,
18/09/2019 19:05,95002.05,540.25,60.3,27.03,
18/09/2019 19:05,95002.13,540.25,60.4,27.03,
18/09/2019 19:05,95006.94,539.82,60.34,27.04,
18/09/2019 19:05,95004.48,540.04,60.28,27.03,
18/09/2019 19:05,95002.58,540.21,60.24,27.03,
18/09/2019 19:05,95005.43,539.96,60.14,27.04,
18/09/2019 19:05,95004.7,540.02,60.04,27.03,
18/09/2019 19:05,95005.94,539.91,59.97,27.04,
18/09/2019 19:05,95004.77,540.01,59.76,27.04,
18/09/2019 19:05,95005.77,539.93,59.57,27.04,
18/09/2019 19:05,95003.59,540.12,59.4,27.04,
18/09/2019 19:05,95004.81,540.01,59.21,27.03,
18/09/2019 19:05,95002.63,540.2,58.95,27.03,
18/09/2019 19:05,95003.3,540.14,58.88,27.03,
18/09/2019 19:05,95002.91,540.18,58.85,27.03,
18/09/2019 19:05,95004.42,540.04,58.81,27.03,
18/09/2019 19:05,95004.31,540.05,58.78,27.03,
18/09/2019 19:05,95003.92,540.09,58.74,27.03,
18/09/2019 19:05,95007.24,539.8,58.73,27.03,
18/09/2019 19:05,95007.58,539.77,58.77,27.03,
18/09/2019 19:05,95005.01,539.99,58.8,27.02,
18/09/2019 19:05,95002.83,540.18,58.82,27.02,
18/09/2019 19:05,95004.92,540,58.87,27.03,
18/09/2019 19:05,95005.26,539.97,58.91,27.03,
18/09/2019 19:05,95006.77,539.84,58.92,27.04,
18/09/2019 19:05,95002.7,540.2,58.9,27.03,
18/09/2019 19:05,95005.77,539.93,58.87,27.04,
18/09/2019 19:05,95004.77,540.01,58.84,27.04,
18/09/2019 19:05,95003.37,540.17,58.82,27.04,
18/09/2019 19:05,95005.16,539.98,58.81,27.05,
18/09/2019 19:05,95004.38,540.05,58.81,27.05,
18/09/2019 19:05,95004.27,540.06,58.81,27.04,
18/09/2019 19:05,95002.09,540.25,58.82,27.05,
18/09/2019 19:05,95005.61,539.94,58.88,27.05,
18/09/2019 19:05,95004.83,540.01,58.95,27.05,
18/09/2019 19:05,95006.45,539.87,59.12,27.05,
18/09/2019 19:05,95004.38,540.05,59.09,27.05,
18/09/2019 19:05,95005.05,539.99,59.06,27.04,
18/09/2019 19:05,95004.7,540.02,59.08,27.03,
18/09/2019 19:05,95004.7,540.02,59.14,27.03,
18/09/2019 19:05,95004.42,540.04,59.18,27.04,
18/09/2019 19:06,95002.7,540.2,59.17,27.03,
18/09/2019 19:06,95004.53,540.03,59.09,27.03,
18/09/2019 19:06,95003.03,540.17,59.06,27.03,
18/09/2019 19:06,95005.32,539.96,59.03,27.04,
18/09/2019 19:06,95006.94,539.75,59,27.04,
18/09/2019 19:06,95003.75,540.1,58.98,27.04,
18/09/2019 19:06,95005.16,539.98,58.95,27.04,
18/09/2019 19:06,95004.92,540,58.93,27.04,
18/09/2019 19:06,95005.43,539.96,58.85,27.04,
18/09/2019 19:06,95004.88,540,58.75,27.03,
18/09/2019 19:06,95004.7,540.02,58.57,27.03,
18/09/2019 19:06,95007.41,539.78,58.44,27.03,
18/09/2019 19:06,95005.12,539.98,58.32,27.02,
18/09/2019 19:06,95004.73,540.02,58.21,27.02,
18/09/2019 19:06,95006.56,539.86,58.15,27.02,
18/09/2019 19:06,95006.79,539.84,58.1,27.01,
18/09/2019 19:06,95006.5,539.86,58.12,27.01,
18/09/2019 19:06,95006.89,539.83,58.11,27,
18/09/2019 19:06,95003.88,540.09,58.08,27,
18/09/2019 19:06,95005.82,539.92,58.01,26.99,
18/09/2019 19:06,95006.66,539.85,57.98,26.98,
18/09/2019 19:06,95006.73,539.81,58,26.97,
18/09/2019 19:06,95006.56,539.86,57.98,26.96,
18/09/2019 19:06,95008.06,539.72,57.95,26.95,
18/09/2019 19:06,95006.5,539.86,58.01,26.95,
18/09/2019 19:06,95003.7,540.11,58.05,26.94,
18/09/2019 19:06,95004.59,540.03,58.05,26.95,
18/09/2019 19:06,95005.66,539.94,58.06,26.94,
18/09/2019 19:06,95006.94,539.82,58.08,26.94,
18/09/2019 19:06,95007.33,539.79,58.1,26.94,
18/09/2019 19:06,95005.94,539.91,58.11,26.94,
18/09/2019 19:06,95004.92,540,58.15,26.94,
18/09/2019 19:06,95005.48,539.95,58.18,26.94,
18/09/2019 19:06,95006.27,539.88,58.2,26.95,
18/09/2019 19:06,95006.94,539.82,58.23,26.95,
18/09/2019 19:06,95004.16,540.07,58.25,26.95,
18/09/2019 19:06,95007.67,539.76,58.26,26.95,
18/09/2019 19:06,95004.72,540.02,58.28,26.95,
18/09/2019 19:06,95005.44,539.95,58.27,26.95,
18/09/2019 19:06,95005.55,539.95,58.25,26.94,
18/09/2019 19:06,95004.32,540.05,58.25,26.95,
18/09/2019 19:06,95005.33,539.96,58.25,26.95,
18/09/2019 19:06,95004.82,540.01,58.24,26.95,
18/09/2019 19:06,95004.71,540.02,58.2,26.94,
18/09/2019 19:06,95004.38,540.05,58.12,26.94,
18/09/2019 19:06,95008.17,539.71,57.99,26.94,
18/09/2019 19:06,95006.27,539.88,57.9,26.94,
18/09/2019 19:06,95006.61,539.85,57.9,26.94,
18/09/2019 19:06,95005.38,539.96,57.95,26.94,
18/09/2019 19:06,95005.88,539.92,58.01,26.94,
18/09/2019 19:06,95007.67,539.76,58.06,26.94,
18/09/2019 19:06,95007.33,539.79,58.02,26.93,
18/09/2019 19:06,95007.16,539.8,57.91,26.93,
18/09/2019 19:06,95008.44,539.69,57.76,26.93,
18/09/2019 19:06,95008.77,539.66,57.66,26.92,
18/09/2019 19:06,95008.1,539.72,57.66,26.92,
18/09/2019 19:06,95006.42,539.87,57.69,26.92,
18/09/2019 19:06,95005.53,539.95,57.75,26.93,
18/09/2019 19:06,95006.42,539.87,57.81,26.92,
18/09/2019 19:06,95008.21,539.71,57.88,26.92,
18/09/2019 19:07,95006.38,539.87,57.94,26.93,
18/09/2019 19:07,95007.32,539.79,58,26.93,
18/09/2019 19:07,95005.42,539.96,58.05,26.92,
18/09/2019 19:07,95010.73,539.49,58.08,26.93,
18/09/2019 19:07,95005.81,539.92,58.12,26.93,
18/09/2019 19:07,95006.2,539.89,58.14,26.93,
18/09/2019 19:07,95004.53,540.03,58.13,26.92,
18/09/2019 19:07,95004.76,540.01,58.13,26.93,
18/09/2019 19:07,95006.83,539.83,58.14,26.93,
18/09/2019 19:07,95007.61,539.76,58.15,26.93,
18/09/2019 19:07,95006.05,539.9,58.16,26.94,
18/09/2019 19:07,95006.27,539.88,58.16,26.93,
18/09/2019 19:07,95005.71,539.93,58.17,26.94,
18/09/2019 19:07,95004.66,540.02,58.17,26.94,
18/09/2019 19:07,95007.05,539.81,58.18,26.94,
18/09/2019 19:07,95005.27,539.97,58.2,26.95,
18/09/2019 19:07,95006.33,539.88,58.23,26.95,
18/09/2019 19:07,95009.13,539.63,58.2,26.95,
18/09/2019 19:07,95007,539.82,58.19,26.95,
18/09/2019 19:07,95007.84,539.74,58.19,26.95,
18/09/2019 19:07,95007.33,539.79,58.19,26.94,
18/09/2019 19:07,95007.28,539.79,58.19,26.95,
18/09/2019 19:07,95007.45,539.78,58.21,26.95,
18/09/2019 19:07,95009.8,539.57,58.23,26.95,
18/09/2019 19:07,95007.84,539.74,58.24,26.95,
18/09/2019 19:07,95007.22,539.8,58.25,26.94,
18/09/2019 19:07,95007.23,539.8,58.26,26.95,
18/09/2019 19:07,95005.84,539.92,58.28,26.96,
18/09/2019 19:07,95009.86,539.57,58.31,26.96,
18/09/2019 19:07,95006.45,539.87,58.35,26.95,
18/09/2019 19:07,95006.5,539.86,58.38,26.96,
18/09/2019 19:07,95006.67,539.85,58.42,26.96,
18/09/2019 19:07,95007.12,539.81,58.45,26.95,
18/09/2019 19:07,95007.67,539.76,58.45,26.96,
18/09/2019 19:07,95005.89,539.92,58.43,26.95,
18/09/2019 19:07,95005.89,539.92,58.42,26.95,
18/09/2019 19:07,95005.94,539.91,58.42,26.95,
18/09/2019 19:07,95006.89,539.83,58.42,26.95,
18/09/2019 19:07,95009.74,539.58,58.4,26.95,
18/09/2019 19:07,95008.51,539.69,58.39,26.95,
18/09/2019 19:07,95011.86,539.39,58.38,26.95,
18/09/2019 19:07,95005.44,539.95,58.4,26.95,
18/09/2019 19:07,95007.67,539.76,58.41,26.95,
18/09/2019 19:07,95007.06,539.81,58.41,26.95,
18/09/2019 19:07,95007.84,539.74,58.43,26.95,
18/09/2019 19:07,95005.83,539.92,58.43,26.95,
18/09/2019 19:07,95009.74,539.58,58.39,26.95,
18/09/2019 19:07,95006.66,539.85,58.34,26.95,
18/09/2019 19:07,95006.72,539.84,58.31,26.94,
18/09/2019 19:07,95012.25,539.36,58.31,26.95,
18/09/2019 19:07,95007.78,539.75,58.31,26.95,
18/09/2019 19:07,95006.89,539.83,58.33,26.95,
18/09/2019 19:07,95007.34,539.79,58.35,26.95,
18/09/2019 19:07,95006.61,539.85,58.39,26.95,
18/09/2019 19:07,95007.84,539.74,58.4,26.95,
18/09/2019 19:07,95003.92,540.09,58.36,26.95,
18/09/2019 19:07,95005.94,539.91,58.31,26.94,
18/09/2019 19:07,95004.92,540,58.26,26.93,
18/09/2019 19:07,95005.2,539.98,58.24,26.94,
18/09/2019 19:07,95007.83,539.75,58.25,26.93,
18/09/2019 19:08,95006.38,539.87,58.23,26.93,
18/09/2019 19:08,95007.72,539.75,58.25,26.93,
18/09/2019 19:08,95006.71,539.84,58.26,26.93,
18/09/2019 19:08,95007.66,539.76,58.27,26.93,
18/09/2019 19:08,95006.04,539.9,58.28,26.93,
18/09/2019 19:08,95006.98,539.82,58.28,26.93,
18/09/2019 19:08,95006.31,539.88,58.26,26.93,
18/09/2019 19:08,95007.05,539.81,58.25,26.93,
18/09/2019 19:08,95003.75,540.1,58.25,26.92,
18/09/2019 19:08,95005.48,539.95,58.27,26.93,
18/09/2019 19:08,95005.53,539.95,58.29,26.92,
18/09/2019 19:08,95008.49,539.69,58.32,26.92,
18/09/2019 19:08,95006.42,539.87,58.35,26.92,
18/09/2019 19:08,95004.33,540.04,58.36,26.9,
18/09/2019 19:08,95005.27,539.97,58.4,26.89,
18/09/2019 19:08,95006.66,539.85,58.42,26.89,
18/09/2019 19:08,95005.6,539.94,58.45,26.89,
18/09/2019 19:08,95008.28,539.71,58.47,26.89,
18/09/2019 19:08,95006.83,539.83,58.48,26.89,
18/09/2019 19:08,95005.55,539.95,58.49,26.9,
18/09/2019 19:08,95006.55,539.86,58.47,26.9,
18/09/2019 19:08,95006.27,539.88,58.37,26.9,
18/09/2019 19:08,95007.56,539.77,58.32,26.9,
18/09/2019 19:08,95005.55,539.95,58.25,26.9,
18/09/2019 19:08,95007.27,539.79,58.2,26.89,
18/09/2019 19:08,95006.27,539.88,58.19,26.89,
18/09/2019 19:08,95004.42,540.04,58.18,26.89,
18/09/2019 19:08,95004.48,540.04,58.2,26.89,
18/09/2019 19:08,95006.09,539.9,58.2,26.88,
18/09/2019 19:08,95006.71,539.84,58.2,26.88,
18/09/2019 19:08,95007.66,539.76,58.21,26.89,
18/09/2019 19:08,95007.49,539.77,58.18,26.88,
18/09/2019 19:08,95005.27,539.97,58.04,26.86,
18/09/2019 19:08,95005.69,539.93,,26.86,
18/09/2019 19:08,95006.25,539.88,57.93,26.85,
18/09/2019 19:08,95005.69,539.93,57.91,26.85,
18/09/2019 19:08,95004.73,540.02,57.92,26.85,
18/09/2019 19:08,95006.17,539.89,57.9,26.84,
18/09/2019 19:08,95005.45,539.95,57.92,26.83,
18/09/2019 19:08,95006.05,539.9,57.98,26.82,
18/09/2019 19:08,95008.45,539.76,,26.82,
18/09/2019 19:08,95005.48,539.95,57.97,26.81,
18/09/2019 19:08,95003.76,540.1,58,26.81,
18/09/2019 19:08,95005.72,539.93,57.98,26.81,
18/09/2019 19:08,95005.8,539.92,58,26.8,
18/09/2019 19:08,95005.73,539.93,58.04,26.8,
18/09/2019 19:08,95006.47,539.86,58.09,26.8,
18/09/2019 19:08,95006.41,539.87,58.11,26.8,
18/09/2019 19:08,95005.05,539.99,58.14,26.81,
18/09/2019 19:08,95004.23,540.06,58.19,26.8,
18/09/2019 19:08,95004.03,540.08,58.24,26.81,
18/09/2019 19:08,95006.07,539.9,58.29,26.8,
18/09/2019 19:08,95004.11,540.07,58.34,26.79,
18/09/2019 19:08,95004.11,540.07,58.36,26.78,
18/09/2019 19:08,95006.16,539.89,58.4,26.78,
18/09/2019 19:08,95005.6,539.94,58.4,26.77,
18/09/2019 19:08,95009.34,539.61,58.37,26.77,
18/09/2019 19:08,95008.78,539.66,58.35,26.77,
18/09/2019 19:08,95004.54,540.03,58.4,26.76,
18/09/2019 19:08,95007.33,539.79,58.43,26.76,
18/09/2019 19:09,95005.82,539.92,58.45,26.76,
18/09/2019 19:09,95005.94,539.91,58.47,26.77,
18/09/2019 19:09,95007.44,539.78,58.49,26.77,
18/09/2019 19:09,95005.6,539.94,58.49,26.77,
